name,sourceBook,sourcePage,primaryArcanum,primaryArcanumLevel,secondaryArcanum,secondaryArcanumLevel,practice,primaryFactor,withstand,description,reach1,reach2,reach3,reach4,reach5,optArcana,defaultPotency,defaultRange
Ectoplasmic Shaping,core,128,death,1,,,compelling,duration,Resolve,"The mage may shape and mold an ectoplasmic manifestation, either conjured by another mage or from a Materialized ghost, though the person or ghost that controls the ectoplasm may Withstand the shaping. After a successful casting, the mage shapes the ectoplasm into any shape he desires. The ectoplasm remains in the new shape for the Duration of the spell. He can use it to craft a mirror that reflects ghosts and other structures in ghostly Twilight in a given area. Also, the mage can use the ectoplasm to create the Open Condition on an object or location for a ghost to Manifest through. Ghosts lose the Manifested Condition once the spell's Duration ends.",,,,,,,1,touch
Deepen Shadows,core,128,death,1,,,compelling,duration,,"The mage can influence the shadows in the spell's area of effect, deepening darkness and making the area nearly completely pitch black. The area is affected by the Poor Light Environmental Tilt for the Duration of the spell.","The mage is able to cause even greater darkness, applying the Blinded Tilt to anyone within the spell's area of effect for the Duration of the spell.",,,,,,1,touch
Forensic Gaze,core,128,death,1,,,knowing,potency,,"The mage can determine the state of a corpse. She determines the exact method of its demise as well as exactly when it died. For each level of Potency, the mage reveals contributing factors to the cause of death. For example, a man found burned in a car might have died from asphyxiation, but might have gotten that way because he was unconscious due to a head wound from crashing his car into a tree while driving drunk.",The mage can witness the final moments of the corpse's life just leading up to death as though seeing through the corpse's eyes. Each rank of Potency reveals a minute of time prior to the corpse's demise.,,,,,,1,touch
Shadow Sculpting,core,128,death,1,,,compelling,duration,,The mage can mold and shape the shadows in the area of effect. He can shape the shadows into any likeness of his choosing. The area must have shadows present for the mage to shape them.,"The caster can both change the shape of the shadows as well as animate them. Shadows move and flow at the mage's direction, at the same speed as the caster.",,,,,,1,touch
Soul Marks,core,128,death,1,,,unveiling,potency,Resolve,"The mage can determine the health of a person's soul. She can determine one soul mark per Potency of the spell cast. She can discern the presence of Persistent Conditions, if the subject is Awakened, if the subject is a supernatural being, if the subject has created a soul stone (see ""Soul Stones"" p. 98), if the subject has had her soul tampered with, if the subject is Possessed, the presence of any Gnosis 5+ Legacy Attainments, if the subject has eaten or otherwise consumed another's soul, or if the subject is suffering from a Paradox Condition.","The mage can perform this spell on an unattached soul. Free of its host, a soul may also reveal if its former host had any Legacy Attainments at Gnosis 1-4.",,,,,,1,touch
Speak with the Dead,core,128,death,1,,,unveiling,duration,,"The mage is able to sense and communicate with ghosts within Twilight. She can sense all ghosts within the area of effect, and is capable of communicating with them by simply talking, as long as the ghost is capable of understanding a language she speaks. She may sense Anchors within the area without using Death Mage Sight. She can concentrate on a single ghost within the area and determine its Rank, if it has an Anchor, and how many Anchors it has.",The caster can determine if any of the Anchors she perceives are temporary (items in which the Anchor Condition has been placed temporarily through some kind of summoning) or permanent.,The caster can make herself understood by ghosts of Rank 2+ even if they do not speak the same language as her.,,,,,1,sensory
Corpse Mask,core,129,death,2,,,veiling,duration,,"The mage alters the appearance of a body to make it look different even under scrutiny. She can cast the spell on a corpse, modifying its wounds and apparent time and cause of death completely. She can make a charred corpse look as though it instead died of a heart attack, or a person who died in a car crash look as though he is the victim of a stab wound.","The mage may cast Corpse Mask on a living subject which has at least one Health box filled with damage to alter the appearance of his injuries, making stab wounds look like bruises, or abrasions look like third-degree burns.","The mage may completely change a corpse's appearance, even allowing her to change its apparent age and sex.",,,,,1,touch
Decay,core,129,death,2,,,ruling,potency,,"The mage degrades a material object, causing it to age in a matter of moments. The object's Durability is lowered by -1 for each Potency of the spell's casting.","The mage can decrease the object's Structure for each point of Potency, possibly destroying the object outright.",,,,,,2,touch
Ectoplasm,core,129,death,2,,,ruling,duration,,"The mage can create ectoplasm (see Ectoplasmic Shaping, above) from one of his own orifices, or the orifice of a corpse - normally the nose or mouth, but sometimes the tear ducts or ears. The mage can shape the ectoplasm into any shape he wishes. The ectoplasm retains its shape for the Duration of the spell.",,,,,,,1,touch
Ghost Shield,core,129,death,2,,,shielding,potency,,"The caster creates a shield that protects her subject from ghostly Numina, Influences, Manifestations, Death spells, and any death-related powers of other supernatural creatures. Any power attempting to pierce the shield provokes a Clash of Wills roll.",The protection afforded by this spell extends to ghosts' physical attacks.,,,,,,2,touch
